X,Y,OBJECTID,Bridge_Name,Town,Latitude,Longitude,Facility_Carried,Structure_Material,Structure_Type,Type_of_Service,Structure_Length,Bridge_Owner,Structurally_Deficient,Posted,Structure_Category,Bridge_Department_Number,Bridge_Identification_Number__B,Feature_Intersected,Highway_Agency_District,FHWARecord,Year_Built,Year_Reconstructed,BridgeInspectionDate,NHS,Deck_Condition,Superstructure_condition,Substructure_Condition,Culvert_Condition,deckArea,Clearance
-7934140.62418221,5233892.52806227,1317765,                    ,Bedford,42.48488056,-71.27359722,OTHER MINUTEMAN CO,Wood or Timber,Stringer/Multi-beam or Girder,Pedestrian-bicycle,4.6,MUN,NO,Open,Pedestrian,B04019,878,WATER ELM BROOK         ,4,False,1850,1900,2021/10/13 00:00:00+00,False,7,6,5,N,242.02008296,0
-7931444.52694144,5231278.08629131,1317766,                    ,Lexington,42.46755833,-71.24937778,OTHER MINUTEMAN BP,Steel,Girder and Floorbeam System,Pedestrian-bicycle,51.8,DOT,NO,Open,Pedestrian,L10013,886,I  95 /ST128           ,4,False,1961,1993,2021/10/28 00:00:00+00,False,7,5,6,N,2732.09574582,4.52
-7895643.4131633,5246476.9974463,1317767,                    ,Danvers,42.568193,-70.927771,HWY   POPLAR ST   ,Masonry,Slab,Highway,4.2,MUN,NO,Open,Short Span Bridge,D03012,89E,WATER FROST FISH BROOK  ,4,False,1850,1900,2021/07/30 00:00:00+00,False,N,N,N,6,813.751589,0
-7880646.95393712,5255193.49472633,1317768,                    ,Essex,42.62583333,-70.79305556,HWY   APPLE ST    ,Concrete,Slab,Highway-pedestrian,5.3,MUN,NO,Open,Short Span Bridge,E11002,89G,WATER ESSEX RIVER       ,4,False,1949,0,2021/11/04 00:00:00+00,False,6,6,6,N,564.78237823,0
-7881428.57780274,5254509.01919893,1317769,                    ,Essex,42.62130897,-70.800077,HWY   POND ST     ,Steel,Stringer/Multi-beam or Girder,Highway,6.2,MUN,NO,Open,Short Span Bridge,E11004,89H,WATER ESSEX RIVER       ,4,False,1949,0,2021/11/04 00:00:00+00,False,7,6,6,N,427.11195836,0
-7898093.19838149,5272578.72076207,1317770,                    ,Georgetown,42.74063889,-70.94977778,I  95             ,Concrete,Culvert (includes frame culverts),Highway,2.7,DOT,NO,Open,Culvert,G03006,89J,WATER WHEELER BROOK     ,4,False,1850,1974,2014/06/16 00:00:00+00,False,N,N,N,7,1063.68956958,0
-7898064.75016763,5274831.9400367,1317771,                    ,Newbury,42.75550278,-70.94952222,HWY   MAIN ST     ,Concrete,Slab,Highway,3.5,MUN,NO,Open,Short Span Bridge,N10017,8B9,WATER PARKER RIV BYPASS,4,False,1850,1925,2020/07/10 00:00:00+00,False,N,N,N,5,395.57370794,0
-7888478.11053557,5281985.14860108,1317772,                    ,Newburyport,42.80266697,-70.863404,ST  1 A/HIGH ST ,Steel,Stringer/Multi-beam or Girder,Highway-pedestrian,6.4,DOT,NO,Open,Short Span Bridge,N11004,8BA,RR    BMRR (ABANDONED),4,False,1938,0,2022/03/02 00:00:00+00,False,6,6,5,N,1908.22613796,3.05
-7894620.95712038,5280691.32387326,1317773,                    ,Newburyport,42.79413889,-70.91858611,I  95             ,Concrete,Culvert (includes frame culverts),Highway,3.7,DOT,NO,Open,Short Span Bridge,N11022,8BB,OTHER CATTLE PASS       ,4,False,1952,1974,2020/08/26 00:00:00+00,True,N,N,N,6,1505.44047151,0
-7896014.32817161,5282037.64911141,1317774,                    ,Newburyport,42.803013,-70.93110297,HWY   PLMMR SPRNG ,Masonry,Arch - Deck,Highway,4.4,MUN,NO,Closed,Short Span Bridge,N11007,8BC,WATER ARTICHOKE RIVER   ,4,False,1900,0,2021/06/01 00:00:00+00,False,N,5,6,N,350.47293598,0
-7916421.87160418,5265705.18322225,1317775,                    ,North Andover,42.69527397,-71.114427,HWY   OSGOOD ST   ,Concrete,Tee Beam,Highway-pedestrian,5.5,DOT,NO,Open,Short Span Bridge,N15007,8BD,WATER COCHICHEWICK RIVER,4,False,1911,0,2020/04/16 00:00:00+00,False,6,5,6,N,680.81733407,0
-7916869.7070336,5266228.34889618,1317776,                    ,North Andover,42.698728,-71.11844997,ST125 /ST133/CKRNG,Concrete,Slab,Highway-pedestrian,4.4,DOT,NO,Open,Short Span Bridge,N15008,8BE,WATER COCHICHEWICK RIVER,4,False,1931,1978,2020/04/01 00:00:00+00,False,N,N,N,6,824.08500048,0
-7901746.95071771,5228689.09470849,1317777,                    ,Saugus,42.4504,-70.9826,HWY   BALLARD ST  ,Other,Culvert (includes frame culverts),Highway,0.9,MUN,NO,Open,Culvert,S05006,8D7,WATER TIDAL CREEK       ,4,False,1850,1900,2017/07/24 00:00:00+00,True,N,N,N,N,123.78497252,0
-7926382.06899289,5123650.39651365,1317778,,Swansea,41.750303,-71.203901,OTHER BIKEWAY,Prestressed concrete,Frame (except frame culverts),Pedestrian-bicycle,9.8,MUN,NO,Open,Bikeway,S35022,AP5,WATER COLE RIVER,5,False,2002,0,2021/10/10 00:00:00+00,False,7,7,8,N,577.00481051,0
-7885905.73484762,5256390.84205885,1317779,                    ,Hamilton,42.63374697,-70.84029597,HWY   MOULTON ST,Prestressed concrete,Slab,Highway,11.3,MUN,NO,Open,Bridge (NBI),H03004,8NF,WATER MILES RIVER,4,True,2000,0,2021/08/16 00:00:00+00,False,7,7,7,N,1264.97475256,0
-7904627.89891593,5199699.96741335,1317780,                    ,Quincy,42.257956,-71.00848,HWY   HANCOCK ST  ,Masonry,Arch - Deck,Highway-pedestrian,4,MUN,NO,Open,Short Span Bridge,Q01025,8Q6,WATER FURNACE BROOK     ,6,False,1850,1900,2020/10/14 00:00:00+00,False,N,6,6,N,800.40437883,0
-7899253.05499451,5200480.45875317,1317781,                    ,Quincy,42.263145,-70.96019697,HWY   ROCKLAND ST ,Steel,Stringer/Multi-beam or Girder,Highway-pedestrian,3,MUN,NO,Open,Culvert,Q01026,8Q7,WATER ROCK ISLAND COVE  ,6,False,1850,1900,2010/08/17 00:00:00+00,False,5,5,5,N,423.02167951,0
-7916207.3566013,5211056.11811192,1317782,                    ,Brookline,42.33341389,-71.1125,HWY   JAMWAY RAMPS,Concrete,Arch - Deck,Highway-pedestrian,4.6,MUN,NO,Open,Short Span Bridge,B27012,8Q9,WATER MUDDY RIVER       ,6,False,1935,0,2021/07/21 00:00:00+00,False,N,7,7,N,2262.78924882,0
-7906083.46464448,5226542.82624983,1317783,                    ,Malden,42.43617222,-71.02155556,HWY   LYNN ST     ,Concrete,Culvert (includes frame culverts),Highway-pedestrian,8.9,MUN,NO,Open,Culvert,M01009,8QA,WATER LINDEN BROOK,4,False,1850,1900,2017/10/12 00:00:00+00,False,N,N,N,6,3602.03462946,0
-7906237.8029309,5225801.47539093,1317784,                    ,Malden,42.431257,-71.022942,HWY   BEACH,Concrete,Culvert (includes frame culverts),Highway-pedestrian,12.4,MUN,NO,Open,Culvert,M01010,8QB,WATER BROOK,4,False,1850,1900,2017/10/12 00:00:00+00,False,N,N,N,6,12346.20525174,0
-7911035.45153311,5216527.47846368,1317785,                    ,Boston,42.369737,-71.06604,US  1 RAMP CT,Prestressed concrete continuous,Segmental Box Girder,Highway,250.9,DOT,NO,Open,Bridge (NBI),B16610,8Y6,COMB  MBTA & MILLERS RIV,6,True,2001,0,2020/09/22 00:00:00+00,True,6,6,7,N,32948.11320421,7.0100002
-8116653.52934964,5252062.9586837,1317786,                    ,Hawley,42.60513797,-72.913138,HWY   PUDNG HLW RD,Steel,Stringer/Multi-beam or Girder,Highway,26.3,MUN,NO,Open,Bridge (NBI),H13006,8Y7,WATER CHICKLEY RIVER,1,True,2005,0,2021/07/16 00:00:00+00,False,8,8,8,N,2349.65397286,0
-7936331.14558942,5244475.49851732,1317787,                    ,Billerica,42.55495,-71.293275,US  3 SB,Steel,Stringer/Multi-beam or Girder,Highway,14,DOT,NO,Open,Bridge (NBI),B12023,8YB,HWY   FARM RD,4,True,2004,0,2021/06/08 00:00:00+00,True,6,7,7,N,3552.44177264,5
-7911317.31266688,5216584.88107537,1317788,                    ,Boston,42.37011797,-71.068572,US  1 RAMP CT,Prestressed concrete continuous,Segmental Box Girder,Highway,137.2,DOT,NO,Open,Bridge (NBI),B16610,8YC,OTHER RELIEF,6,True,2001,0,2021/08/25 00:00:00+00,True,7,7,7,N,17426.34041356,0
-7911459.46773423,5216791.45841782,1317789,                    ,Boston,42.37148897,-71.069849,US  1 RAMP CT,Prestressed concrete continuous,Segmental Box Girder,Highway,158.8,DOT,NO,Open,Bridge (NBI),B16610,8YD,OTHER RELIEF,6,True,2001,0,2021/08/17 00:00:00+00,True,7,7,7,N,20682.63859382,0
-7905833.70771183,5172718.42285803,1317790,,Brockton,42.07831,-71.01931197,HWY   ALLEN ST,Prestressed concrete,Slab,Highway-pedestrian,10,MUN,NO,Open,Bridge (NBI),B25010,90X,WATER SALISBURY BROOK,5,True,2002,0,2022/01/06 00:00:00+00,False,8,8,8,N,1364.86384126,0
-7908554.91537616,5213127.68262323,1317791,                    ,Boston,42.347169,-71.04375697,HWY   SUMMER ST,Prestressed concrete,Box Beam or Girders - Multiple,Highway,33.9,DOT,NO,Open,Bridge (NBI),B16582,90Y,HWY   C ST,6,True,2000,0,2021/09/23 00:00:00+00,True,7,7,7,N,10676.87407025,4.6900001
-7908804.38236964,5213299.23993746,1317792,                    ,Boston,42.348308,-71.04599797,HWY   SUMMER ST,Steel continuous,Stringer/Multi-beam or Girder,Highway-pedestrian,218.2,DOT,NO,Open,Bridge (NBI),B16584,911,COMB  I90 RPS& HAUL &CSX,6,True,2002,0,2021/01/04 00:00:00+00,True,7,7,7,N,71634.90023614,4.3899999
-7910834.74226232,5211643.29099406,1317793,                    ,Boston,42.337313,-71.064237,HWY   RAMP K,Prestressed concrete continuous,Stringer/Multi-beam or Girder,Highway,39.6,DOT,NO,Open,Bridge (NBI),B16664,912,OTHER RELIEF   ,6,True,2002,0,2021/03/16 00:00:00+00,False,7,7,7,N,4177.25823007,0
-7910372.3209714,5212904.16550662,1317794,                    ,Boston,42.345685,-71.060083,I  93 HOV RAMP EB,Prestressed concrete continuous,Box Beam or Girders - Single or Spread,Highway,21.6,DOT,NO,Open,Bridge (NBI),B16669,92K,RR     AMTRAK,6,True,2002,0,2021/04/27 00:00:00+00,False,7,8,6,N,2999.25599943,5.6399999
-7944825.04409681,5150911.4194582,1317795,                   ,North Attleboro,41.93274397,-71.369577,HWY   CUSHMAN RD,Prestressed concrete,Slab,Highway,13.1,MUN,NO,Open,Bridge (NBI),N16003,3JT,WATER ABBOTT RUN RIVER  ,5,True,1886,1980,2020/11/12 00:00:00+00,False,6,6,6,N,930.64768081,0
-7945193.84263459,5150289.99671309,1317796,,North Attleboro,41.92859097,-71.37288997,HWY   MENDON RD ,Steel,Stringer/Multi-beam or Girder,Highway-pedestrian,14.3,MUN,YES,Open,Bridge (NBI),N16004,3JU,WATER ABBOTT RUN RIVER  ,5,True,1850,1953,2020/11/05 00:00:00+00,False,6,6,4,N,1816.30224427,0
-7940246.35789837,5158422.87245802,1317797,               ,North Attleboro,41.982922,-71.32844597,HWY   ORNE ST/LNDY,Prestressed concrete,Slab,Highway-pedestrian,7,MUN,NO,Open,Bridge (NBI),N16016,3JV,WATER TEN MILE RIVER    ,5,True,1979,0,2020/11/13 00:00:00+00,False,5,5,7,N,1235.69691622,0
-7933217.97910277,5137918.29547601,1317798,                  ,Rehoboth,41.845854,-71.265309,HWY   DANFORTH ST ,Steel,Culvert (includes frame culverts),Highway,7,MUN,NO,Open,Bridge (NBI),R04022,3JW,WATER PALMER RIVER      ,5,True,1936,0,2021/03/09 00:00:00+00,False,N,N,N,5,623.87622534,0
-7934077.91907109,5131139.24150632,1317799,                  ,Rehoboth,41.80047297,-71.27303397,HWY   PROVDENCE ST,Steel,Stringer/Multi-beam or Girder,Highway,17.1,MUN,NO,Posted For Load,Bridge (NBI),R04012,3JX,WATER PALMER RIVER      ,5,True,1969,0,2020/10/23 00:00:00+00,False,7,6,7,N,2006.28526318,0
-7917558.88068257,5134563.05116131,1317800,                    ,Dighton,41.823397,-71.12464097,HWY   ELM  ST     ,Prestressed concrete,Slab,Highway-pedestrian,11.6,MUN,NO,Open,Bridge (NBI),D08005,3L7,WATER SEGREGANSET RIVER ,5,True,1956,0,2020/11/06 00:00:00+00,False,7,7,7,N,1373.47496959,0
-7917537.39888334,5129711.77823887,1317801,                   ,Dighton,41.790913,-71.124448,HWY   PLEASANT ST ,Prestressed concrete,Box Beam or Girders - Multiple,Highway-pedestrian,22.4,MUN,NO,Open,Bridge (NBI),D08001,3L8,WATER BROAD COVE        ,5,True,1938,1995,2020/09/24 00:00:00+00,False,7,7,6,N,2941.56143958,0
-7917007.85195518,5132492.54709195,1317802,                    ,Dighton,41.80953497,-71.119691,HWY   PLEASANT ST ,Concrete,Tee Beam,Highway,9.2,MUN,NO,Posted For Load,Bridge (NBI),D08002,3L9,WATER MUDDY COVE BROOK  ,5,True,1914,1949,2022/03/25 00:00:00+00,False,5,5,5,N,1091.86625686,0
-7919578.10866456,5137048.47759179,1317803,                  ,Dighton,41.84003297,-71.14278,HWY   CENTER ST   ,Concrete,Tee Beam,Highway,9.1,MUN,NO,Open,Bridge (NBI),D08008,3LA,WATER SEGREGANSET RIVER ,5,True,1850,1920,2021/03/05 00:00:00+00,True,6,5,6,N,891.35950024,0
-7911046.91288115,5182540.57207178,1317804,William H. Bissett   ,Stoughton,42.14376597,-71.06614297,ST 24 ,Steel,Stringer/Multi-beam or Girder,Highway,21.5,DOT,NO,Open,Bridge (NBI),S28008,3MM,HWY   PAGE ST           ,5,True,1956,1992,2021/02/24 00:00:00+00,True,7,7,7,N,8359.85024397,4.4400001
-7910114.610136,5140623.72903036,1317805,                    ,Taunton,41.863956,-71.05776797,ST 24 ,Concrete,Frame (except frame culverts),Highway,9.4,DOT,NO,Open,Bridge (NBI),T01045,3MN,RR    MACRR,5,True,1950,0,2021/09/16 00:00:00+00,True,6,6,7,N,4174.31984054,6.9499998
-7909865.03492096,5141841.8828089,1317806,LT. WILLIAM C. MURPHY,Taunton,41.87210497,-71.055526,ST 24 ,Steel,Stringer/Multi-beam or Girder,Highway,32.8,DOT,YES,Open,Bridge (NBI),T01046,3MP,ST140 COUNTY ST,5,True,1951,0,2021/12/07 00:00:00+00,True,5,4,5,N,10215.76904577,4.4099998
-7909750.59531031,5142385.46249497,1317807,                  ,Taunton,41.87574097,-71.05449797,ST 24 ,Concrete,Frame (except frame culverts),Highway,8.5,DOT,NO,Open,Bridge (NBI),T01047,3MQ,RR    MBTA/CSX,5,True,1950,0,2021/09/14 00:00:00+00,True,6,6,7,N,3458.44432645,5.6399999
-7908720.18792473,5146269.71218856,1317808,                    ,Raynham,41.90171667,-71.04524167,ST 24 ,Steel,Stringer/Multi-beam or Girder,Highway,69.5,DOT,NO,Open,Bridge (NBI),R02012,3MR,WATER TAUNTON RIVER     ,5,True,1951,2016,2020/09/23 00:00:00+00,True,8,9,7,N,26407.63888082,0
-7927136.145897,5160391.60177637,1317809,                 ,Mansfield,41.99606697,-71.21067497,ST140 S MAIN ST   ,Prestressed concrete,Box Beam or Girders - Single or Spread,Highway-pedestrian,15.2,DOT,NO,Open,Bridge (NBI),M03013,3P2,WATER RUMFORD RIVER     ,5,True,1928,1993,2021/06/10 00:00:00+00,False,6,5,7,N,4057.56350831,0
-7929179.08518916,5163959.12605751,1317810,                 ,Mansfield,42.01988,-71.229027,ST140             ,Prestressed concrete,Box Beam or Girders - Multiple,Highway,26.8,DOT,NO,Open,Bridge (NBI),M03029,3P3,RR    AMTRAK/MBTA,5,True,1980,0,2021/02/10 00:00:00+00,True,6,5,5,N,10644.6464723,7.21
-7928670.91143111,5161958.64535834,1317811,John D. Prescott    ,Mansfield,42.006528,-71.224462,ST140 ,Steel continuous,Stringer/Multi-beam or Girder,Highway,128,DOT,NO,Open,Bridge (NBI),M03031,3P4,I 495 ,5,True,1978,0,2021/09/14 00:00:00+00,True,5,6,6,N,40782.3037993,5.0500002
-7923376.44297021,5153069.8852049,1317812,                    ,Norton,41.947167,-71.176901,ST140 TAUNTON AVE ,Concrete,Arch - Deck,Highway-pedestrian,13.1,DOT,NO,Open,Bridge (NBI),N23021,3P5,WATER WADING RIVER      ,5,True,1941,0,2020/09/03 00:00:00+00,False,N,7,6,N,2129.20912018,0
-7939791.28646322,5150299.12399488,1317813,,Attleboro,41.92865197,-71.324358,I  95 SB          ,Steel,Stringer/Multi-beam or Girder,Highway,19.5,DOT,NO,Open,Bridge (NBI),A16047,3QB,HWY   TIFFANY ST        ,5,True,1959,0,2021/02/18 00:00:00+00,True,7,7,7,N,3652.19480551,4.3600001
-7939726.05315039,5150214.88833875,1317814,,Attleboro,41.928089,-71.323772,I  95 NB          ,Steel,Stringer/Multi-beam or Girder,Highway,18.3,DOT,NO,Open,Bridge (NBI),A16048,3QC,HWY   TIFFANY ST        ,5,True,1959,0,2021/02/18 00:00:00+00,True,5,7,7,N,3427.44416864,4.4099998
-7939286.78631706,5151107.15122724,1317815,,Attleboro,41.934052,-71.319826,I  95 SB          ,Steel continuous,Stringer/Multi-beam or Girder,Highway,60,DOT,NO,Open,Bridge (NBI),A16049,3QD,ST123 SOUTH AVE,5,True,1959,0,2021/11/19 00:00:00+00,True,5,6,5,N,11818.77299533,4.6900001
-7939197.39678835,5151105.80451535,1317816,,Attleboro,41.934043,-71.319023,I  95 NB          ,Steel continuous,Stringer/Multi-beam or Girder,Highway,60.4,DOT,NO,Open,Bridge (NBI),A16050,3QE,ST123 SOUTH AVE         ,5,True,1959,0,2021/11/19 00:00:00+00,True,5,6,7,N,11897.56520925,4.4400001
-7937752.91462485,5153807.1881957,1317817,,Attleboro,41.95209297,-71.306047,I  95 NB          ,Prestressed concrete,Slab,Highway,12.8,DOT,NO,Open,Bridge (NBI),A16052,3QF,WATER TEN MILE RIVER    ,5,True,1960,0,2021/07/15 00:00:00+00,True,7,7,7,N,2397.33812874,0
-7921612.35949762,5158226.39677591,1317818,                   ,Norton,41.98161,-71.16105397,I 495 RAMP B,Prestressed concrete,Stringer/Multi-beam or Girder,Highway,14.6,DOT,NO,Open,Bridge (NBI),N23037,3RQ,WATER CANOE RIVER       ,5,True,1978,0,2020/04/21 00:00:00+00,True,6,5,6,N,1241.50944356,0
-7921258.92001125,5158368.51234583,1317819,                    ,Norton,41.982559,-71.15787897,I 495 RAMP D NB,Prestressed concrete,Stringer/Multi-beam or Girder,Highway,14.6,DOT,NO,Open,Bridge (NBI),N23038,3RR,WATER CANOE RIVER       ,5,True,1978,0,2020/04/21 00:00:00+00,True,6,6,6,N,1210.07877799,0
-7937837.40362738,5166537.6564533,1317820,                   ,Plainville,42.037086,-71.30680597,I 495 SB          ,Steel,Stringer/Multi-beam or Girder,Highway,55.5,DOT,NO,Open,Bridge (NBI),P12005,3RT,US  1 WASHINGTON ST     ,5,True,1965,0,2021/04/06 00:00:00+00,True,7,6,5,N,10573.92799848,4.54
-7937819.484312,5166596.26063964,1317821,                   ,Plainville,42.037477,-71.306645,I 495 NB          ,Steel,Stringer/Multi-beam or Girder,Highway,55.5,DOT,NO,Open,Bridge (NBI),P12005,3RU,US  1 WASHINGTON ST     ,5,True,1965,0,2021/04/06 00:00:00+00,True,7,6,5,N,10573.92799848,4.54
-7914781.84586014,5155107.24163749,1317822,,Taunton,41.96077778,-71.09969444,I 495 SB,Steel,Stringer/Multi-beam or Girder,Highway,48.8,DOT,NO,Open,Bridge (NBI),T01059,3RV,WATER SNAKE RIVER       ,5,True,1980,0,2020/04/07 00:00:00+00,True,7,7,7,N,9034.79619027,0
-7934753.63150988,5127932.22022196,1317823,                   ,Rehoboth,41.778993,-71.279104,I 195 WB          ,Steel continuous,Stringer/Multi-beam or Girder,Highway,47.5,DOT,NO,Open,Bridge (NBI),R04018,3U5,WATER PALMER RIVER      ,5,True,1960,0,2021/07/29 00:00:00+00,True,5,5,6,N,8896.37196213,0
-7925024.19331657,5120758.96827984,1317824,                   ,Somerset,41.73092197,-71.191703,I 195 WB,Steel,Stringer/Multi-beam or Girder,Highway,41.5,DOT,NO,Open,Bridge (NBI),S16012,3U6,WATER LEES RIVER        ,5,True,1960,0,2020/10/27 00:00:00+00,True,6,6,7,N,8174.65132177,0
-7925034.2119945,5120692.89207868,1317825,                    ,Somerset,41.730479,-71.191793,I 195 EB,Steel,Stringer/Multi-beam or Girder,Highway,41.5,DOT,NO,Open,Bridge (NBI),S16012,3U7,WATER LEES RIVER        ,5,True,1960,0,2020/10/27 00:00:00+00,True,5,6,7,N,8174.65132177,0
-7926256.83443262,5121568.526788,1317826,                   ,Swansea,41.73634897,-71.202776,I 195 WB,Steel,Stringer/Multi-beam or Girder,Highway,38.9,DOT,NO,Open,Bridge (NBI),S35018,3U8,WATER COLE RIVER       ,5,True,1960,2015,2021/07/19 00:00:00+00,True,8,8,8,N,7411.27604124,0
-7926297.84950845,5121518.53962785,1317827,                 ,Swansea,41.73601389,-71.20314444,I 195 EB,Steel,Stringer/Multi-beam or Girder,Highway,38.9,DOT,NO,Open,Bridge (NBI),S35018,3U9,WATER COLE RIVER       ,5,True,1960,2015,2021/07/19 00:00:00+00,True,8,8,8,N,7411.27604124,0
-7936609.32623354,5156376.09102207,1317828,ROBERT J. GILLESPIE ,North Attleboro,41.969253,-71.29577397,HWY   TONER BLVD  ,Steel,Stringer/Multi-beam or Girder,Highway-pedestrian,90.8,DOT,YES,Open,Bridge (NBI),N16047,3VJ,I  95                   ,5,True,1960,0,2021/11/10 00:00:00+00,False,4,5,6,N,19156.31672918,4.8000002
-7912492.39631668,5167664.68710552,1317829,ROBERT F THOMPSON SA USN                    ,Easton,42.04460497,-71.07912797,ST123 /ST138/WSHNG,Concrete,Culvert (includes frame culverts),Highway-pedestrian,7.3,DOT,NO,Open,Bridge (NBI),E06001,3VK,WATER QUESET BROOK      ,5,True,1988,0,2020/10/13 00:00:00+00,True,N,N,N,7,1453.66614205,0
-7943441.1204613,5167561.25513014,1317830,                    ,Wrentham,42.04391497,-71.357145,ST121 WEST ST     ,Steel,Stringer/Multi-beam or Girder,Highway-pedestrian,75.3,DOT,NO,Open,Bridge (NBI),W46008,3VL,I 495 ,5,True,1966,0,2020/07/07 00:00:00+00,False,6,5,6,N,15562.03255934,5
